Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,10 word summary,Place of Publish (1st author),Country of Publication (1st Author),Place of Publish,Country of Publication (Rest of authors),Place of Work,Type of Document,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,Method of Research,GSRank,QueryDate,Type,Second Keyword,,,,,,,,,,,
13,"W Brunette, W Gerard, MA Hicks, A Hope…",Portable antenatal ultrasound platform for village midwives,2010,Proceedings of the First …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KYnNJU0JzaDl4bVk,"http://scholar.google.com/scholar?cites=8203714129194333418&as_sdt=2005&sciodt=0,5&hl=en&num=20",Introduces portable antenatal ultrasound platform for village midwives,University of Washington,US,n/a,"US, US, US, US, US, US, US, US, US",UG,Scholarly Article,1,,,,,,1,,10,3/30/2015,,low-resource,low-income,developing countries,developing world,,,,,,,,
11,"T Gorman, E Rose, J Yaaqoubi, A Bayor…","Adapting usability testing for oral, rural users",2011,Proceedings of the …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KTzU3eHQzdElmZU0,"http://scholar.google.com/scholar?cites=15629988032772927035&as_sdt=2005&sciodt=0,5&hl=en&num=20",Analysis of traditional usability methods in systems for distant and diverse populations. Study conducted in two Ghanaian villages that evaluated an audio computer designed for people living in oral cultures,"University of Washington, Literacy Bridge in Dafiama Ghana",US,n/a,"US, US, US, US",GH,Scholarly Article,1,1,,1,,,,,21,4/1/2015,,poverty,international development,,,,,,,,,,
11,"I Hussein, M Mahmud, AW Yeo",HCI practices in Malaysia: A reflection of ICT professionals' perspective,2010,"… Technology (ITSim), 2010 …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5561470,"http://scholar.google.com/scholar?cites=8818801057773964684&as_sdt=2005&sciodt=0,5&hl=en&num=20",study aimed at revealing HCI perceptions of ICT in Malaysia.describe and discuss the factors that either drive or impede technology managers towards HCI awareness,School of Information Science in the University of Malaysia Sabah,MY,n/a,"MY, MY",MY,Scholarly Article,1,,1,1,,,,,20,4/1/2015,,developing countries,,,,,,,,,,,
10,"SG Mougiakakou, E Kyriacou, K Perakis…","A feasibility study for the provision of electronic healthcare tools and services in areas of Greece, Cyprus and Italy",2011,Biomedical …,biomedcentral.com,http://www.biomedcentral.com/content/pdf/1475-925X-10-49.pdfDomain ,"http://scholar.google.com/scholar?cites=13336150876785897924&as_sdt=2005&sciodt=0,5&hl=en&num=20",present steps for creation of a platform for the provision of a series of eHealth tools and services in isolated areas of thesoutheast Mediterranean,National Technical University of Athens,"GR, CH",n/a,"CY, GR, GR, GR, GR, IT, IT, IT, CY, GR","GR, CY, IT",Scholarly Article,1,,1,,,,1,,476,4/1/2015,PDF,developing countries,developing world,,,,,,,,,,
10,"N Poosanthanasarn, C Lohachit…",An ergonomics intervention program to prevent worker injuries in a metal autoparts factory,2005,… Asian Journal of …,tm.mahidol.ac.th,http://www.tm.mahidol.ac.th/seameo/2005_36_2/34-3514.pdf ,"http://scholar.google.com/scholar?cites=10815071250010465025&as_sdt=2005&sciodt=0,5&hl=en&num=20","Use of technology to improve working conditions in Thailand- study were to assess the causes of injuries in the pressing and storage sections of that factory, and to improve working conditions by reducing worker injuries from accidents using an Ergonomics Intervention Program.","Ramkhamhaeng University in Bangkok, Faculty of Tropical Medicine in Mahidol
University in Bangkok, Department of Industrial Engineering in the Royal Thai Air Force Academy of Bangkok",TH,n/a,"TH, TH, TH, TH",TH,Scholarly Article,1,,1,,,,1,,87,4/1/2015,PDF,developing countries,,,,,,,,,,,
10,"C Putnam, E Rose, R Walton…",Mobile phone users in Kyrgyzstan: A case study of identifying user requirements for diverse users,2009,"… Conference, 2009. IPCC …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=5208689,"http://scholar.google.com/scholar?cites=7607723742713367414&as_sdt=2005&sciodt=0,5&hl=en&num=20",presents a case study outlining our process to dentify a tmobile phone product concept for mobile phone users in Kyrgyzstan,Univ. of Washington in Seattle,US,n/a,"US, US, US","US, KG",Scholarly Article,1,,1,,,,1,,21,4/1/2015,,developing countries,developing world,,,,,,,,,,
8,"KL Kumar, M Bhattacharya",Designing for learning effectiveness across borders in a multicultural context,2007,Journal of Interactive Learning Research,editlib.org,http://www.editlib.org/p/21927/?nl,"http://scholar.google.com/scholar?cites=8460656665481631832&as_sdt=2005&sciodt=0,5&hl=en&num=20","Teaching-Learning with technology.Case studies of courses conducted by the authors; one-way video teleteaching within a country with no trans-cultural factors and two other courses, one each via two-way-video conferencing and web conferencing between Africa and a European country","University of Botswana, Massey University",BW,n/a,NZ,"BW, ES",Scholarly Article,1,,1,,,,1,,49,4/1/2015,,developing world,,,,,,,,,,,
8,"JS Sandhu, J Hey, C Newman…","Informal health and legal rights education in rural, agricultural communities using mobile devices",2005,"… , 2005. ICALT 2005. …",ieeexplore.ieee.org,http://ieeexplore.ieee.org/xpls/abs_all.jsp?arnumber=1508877,"http://scholar.google.com/scholar?cites=15543743484329319509&as_sdt=2005&sciodt=0,5&hl=en&num=20","design of a system for informal education in rural, farmworker populations using mobile devices",UC Berkeley,US,n/a,"US, US, US",US,Scholarly Article,1,,1,,,,1,,42,4/1/2015,,poverty,developing countries,developing world,,,,,,,,,
8,"P Chininthorn, M Glaser, A Freudenthal, WD Tucker",Mobile communication tools for a South African Deaf patient in a pharmacy context,2012,,repository.uwc.ac.za,http://repository.uwc.ac.za/xmlui/handle/10566/654,"http://scholar.google.com/scholar?cites=15125363494229666634&as_sdt=2005&sciodt=0,5&hl=en&num=20",Presents of community-based co-design for emergence of a mobile system to address a potentially life-threatening scenario for Deaf people in South Africa.,"Delft University of Technology in Landbergstraat, Deaf Community of Cape Town, Department of Computer Science in University of the Western Cape",NL,n/a,"ZA, NL, ZA",ZA,Scholarly Article,1,,1,,,,1,,252,4/1/2015,,poverty,developing countries,developing world,,,,,,,,,
8,"JS Sandhu, P Altankhuyag, D Amarsaikhan",Serial hanging out: rapid ethnographic needs assessment in rural settings,2007,Human-Computer Interaction …,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KbkZDZHlfeUtDc0U,"http://scholar.google.com/scholar?cites=7902162815439005660&as_sdt=2005&sciodt=0,5&hl=en&num=20","Presents an ethnographic method for assessing user needs in designing for rural settings. “Serial Hanging Out” consists of short-term participant observation with multiple, independent informants.",n/a,n/a,n/a,n/a,MN,Scholarly Article,,,1,,,,,,66,4/1/2015,,developing countries,international development,,,,,,,,,,
8,"M Yunus, T Sibieude, E Lesueur","Social Business and big business: innovative, promising solutions to overcome poverty?",2012,Field Actions Science …,factsreports.revues.org,https://factsreports.revues.org/1574?lang=fr ,"http://scholar.google.com/scholar?cites=18102170920882126692&as_sdt=2005&sciodt=0,5&hl=en&num=20",Social Business as an avenue in social entrepreneurship to help eradicate poverty,"Founder of Grameen Bank Chairman Yunus Centre, ESSEC, Directeur Projet Grameen Veolia Water, Veolia Environnement",BD,n/a,"FR, BD",BD,Scholarly Article,1,,,1,1,,1,,17,4/1/2015,HTML,poverty,low-income,developing countries,international development,global development,poverty,low-income,global development,,,,
8,"T Mullaney, H Pettersson, T Nyholm…",Thinking beyond the cure: A case for human-centered design in cancer care,2012,International Journal of …,ijdesign.org,http://www.ijdesign.org/ojs/index.php/IJDesign/article/view/1076,"http://scholar.google.com/scholar?cites=16361062102234675187&as_sdt=2005&sciodt=0,5&hl=en&num=20","Explore how HCD can expand patient experience in healthcare, pecifically at patient emotional wellbeing. Findings presented are taken from ethnographic research of cancer patients.","Umeå University in Sweden, Norrlands University Hospital in Sweden, Indiana University in USA.",SE,n/a,"SE, SE, US",SE,Scholarly Article,1,,1,,,,1,,14,4/1/2015,,developing world,,,,,,,,,,,
7,R Steinbeck,Building creative competence in globally distributed courses through design thinking,2011,Revista Comunicar,eprints.rclis.org,http://eprints.rclis.org/16746/1/en27-35.pdf,"http://scholar.google.com/scholar?cites=10636715899743406506&as_sdt=2005&sciodt=0,5&hl=en&num=20","Paper introduces design thinking, a human-centered innovation methodology","Stanford University, University
of São Paulo","US, BR",n/a,n/a,"US, CO",Scholarly Article,1,1,,1,1,,1,,26,4/1/2015,,poverty,,,,,,,,,,,
7,"R Hinman, J Matovu",Opportunities and challenges for mobile-based financial services in rural Uganda,2010,CHI'10 Extended Abstracts on Human Factors in …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KS3FacUFqbEdTaFU,"http://scholar.google.com/scholar?cites=10292200634333096218&as_sdt=2005&sciodt=0,5&hl=en&num=20",Paper outlines findings on the use of mobile-based financial services in rural Uganda. Includes insights into behaviors and attitudes towards finances that may impact the widespread uptake of mobile financial services and potential research for future,"Nokia Research Lab in Santa Monica, Julus MatovuMakerere University in Kampala Uganda",US,n/a,UG,UG,Scholarly Article,1,,1,,,,1,,23,4/1/2015,,poverty,global poverty,,,,,,,,,,
7,"A Hashizume, T Yamanaka, M Kurosu",Real user experience of ICT devices among elderly people,2011,Human Centered Design,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KaDZXYTQwVlhscWM,"http://scholar.google.com/scholar?cites=8448164239200038586&as_sdt=2005&sciodt=0,5&hl=en&num=20",paper analyzes difference of elderly mobile users between rural and urban areas,"Graduate School of Comprehensive Human Science in the University of Tsukuba Japan, The Open University of Japan",JP,n/a,"JP, JP",JP,Scholarly Article,,,,,,,,,31,4/1/2015,,poverty,,,,,,,,,,,
7,"R Walton, B DeRenzi",Value-sensitive design and health care in Africa,2009,"Professional Communication, IEEE …",ieeexplore.ieee.org,http://www.bderenzi.com/Papers/walton_ieeeTPC_2009.pdf,"http://scholar.google.com/scholar?cites=1135701911005848825&as_sdt=2005&sciodt=0,5&hl=en&num=20","Paper describes approach of using value-sensitive design to guide the design, development, and implementation of health information systems for use in rural areas of two developing countries in Africa",University of Washington,US,n/a,US,East Africa,Scholarly Article,1,,1,1,,,1,,22,3/30/2015,,low-income countries,low-income,developing countries,developing world,,,,,,,,
6,"S Ahmed, DA Nelson, PA Biedrzycki…","Community Engagement for Translational Disaster Research: Fostering Public, Private & Responder Group Partnerships",2012,Proceedings of the 9th …,iscramlive.org,http://www.iscramlive.org/ISCRAM2012/proceedings/247.pdf,"http://scholar.google.com/scholar?cites=12563403315216892955&as_sdt=2005&sciodt=0,5&hl=en&num=20",discussion of public engagement and emergency management,Medical College of Wisconsin (US),US,"University of Wisconsin Milwaukee (US), Milwaukee Public Works (US)","US, US, US, US, US",US,Scholarly Article,1,1,,,,,,,312,4/1/2015,PDF,poverty,,,,,,,,,,,
6,"DK Rosner, M Ames",Designing for repair?: infrastructures and materialities of breakdown,2014,Proceedings of the 17th ACM conference on …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KZmczRG15Z3RPY28,"http://scholar.google.com/scholar?cites=12353800704571287785&as_sdt=2005&sciodt=0,5&hl=en&num=20",explore implications of repairing and replacing broken products in cultural context,University of Washington (US),US,UC Irvine (US),US,"PY, US",Scholarly Article,1,,1,,,,,,563,4/1/2015,,developing countries,,,,,,,,,,,
6,"A Dekhtyar, J Goldsmith, B Goldstein…",Planning for success: The interdisciplinary approach to building Bayesian models,2009,International journal of …,Elsevier,https://drive.google.com/open?id=0B_bAdNcWxr9KcDF0MjFQSHpyZEE,"http://scholar.google.com/scholar?cites=4014872563143890512&as_sdt=2005&sciodt=0,5&hl=en&num=20",experts collaborating on welfare advisement system,Cal Poly (US),US,University of Kentucky (US),US,US,Scholarly Article,1,,,,,,1,,49,4/1/2015,HTML,poverty,,,,,,,,,,,
6,"R Walton, J Yaaqoubi, B Kolko",What's it for? Expectations of Internet value and usefulness in Central Asia,2012,Information Technologies & …,itidjournal.org,http://itidjournal.org/itid/article/viewArticle/915,"http://scholar.google.com/scholar?cites=13842304050392451396&as_sdt=2005&sciodt=0,5&hl=en&num=20",survey and interviews of people's expectations of internet,Utah State University (US),US,University of Washington (US),"US, US","KG, KZ, TJ, UZ",Scholarly Article,1,,,,,,,,251,3/30/2015,,low-income,developing countries,developing world,international development,,,,,,,,
5,"A Joshi, M de Araujo Novaes, J Machiavelli…",A Human Centered GeoVisualization framework to facilitate visual exploration of telehealth data: A case study,2012,Technology and Health …,IOS Press,https://drive.google.com/open?id=0B_bAdNcWxr9Kd3czazZOODE1Sjg,"http://scholar.google.com/scholar?cites=16977044265179266895&as_sdt=2005&sciodt=0,5&hl=en&num=20",telehealth data project in Brazil,University of Nebraska Medical Center (US),US,"University of Texas Health Science Center (US), Federal University of Pernambuco (Brazil)","US, BR, BR, US, US, US, US",BR,Scholarly Article,1,,,,,,,,32,4/1/2015,,developing countries,,,,,,,,,,,
5,"BE Kolko, A Hope, W Brunette, K Saville…",Adapting collaborative radiological practice to low-resource environments,2012,Proceedings of the …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KMzdqOGoxZ0lqN0E,"http://scholar.google.com/scholar?cites=9759884739733481684&as_sdt=2005&sciodt=0,5&hl=en&num=20",review of radiology device practices and applications in low-resource countries,University of Washington (US),US,Ernest Cook Ultrasound Research and Education Institute (Uganda),"US, US, US, US, US, UG",UG,Scholarly Article,1,1,,,,,,,1,3/30/2015,,low-resource settings,low-resource,developing world,international development,global development,,,,,,,
5,"C Driesbach, R Walton, B Kolko…",Asking Internet users to explain non-use in Kyrgyzstan,2009,"… , 2009. IPCC 2009. …",ieeexplore.ieee.org,https://drive.google.com/open?id=0B_bAdNcWxr9KWVVSWWNVSlA4OEk,"http://scholar.google.com/scholar?cites=15378186567862830276&as_sdt=2005&sciodt=0,5&hl=en&num=20",why people in Kyrgyzstan aren't using internet,University of Washington (US),US,"Utah State University (US), Sammy Ofer School of Communication (Israel)","US, US, IL",KG,Scholarly Article,1,,,,,,,,63,4/1/2015,,poverty,developing countries,developing world,international development,,,,,,,,
5,"WARWM Isa, NLM Noor, S Mehad",Culture design of information architecture for B2C e-commerce websites,2009,Human Centered Design,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KYVJCd1BzRUVfckE,"http://scholar.google.com/scholar?cites=5828069886560484627&as_sdt=2005&sciodt=0,5&hl=en&num=20",the effect of culture on human-computer systems in the Middle East,Universiti Teknologi MARA (Malaysia),MY,n/a,"MY, MY","MY, Middle East",Scholarly Article,,,1,,,,,,4,3/30/2015,,developing economies,developing countries,,,,,,,,,,
5,"LC De Castro Salgado, CS De Souza…",On the epistemic nature of cultural viewpoint metaphors,2011,Proceedings of the 10th …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KUUdpZjk2RVlpMEU,"http://scholar.google.com/scholar?cites=11284636121700689130&as_sdt=2005&sciodt=0,5&hl=en&num=20",investigate how Cultural Viewpoint Metaphors (CVM) can quality assessment of HCI design alternatives,Pontifical Catholic University of Rio de Janeiro (Brazil),BR,n/a,"BR, BR",BR,Scholarly Article,1,1,,,,,,,195,4/1/2015,,developing world,global development,,,,,,,,,,
4,"O Sohaib, K Kang",Cultural Aspects of Business-to-Consumer (B2C) E-commerce: A Comparative Analysis of Pakistan and Australia,2014,… Information Systems in Developing Countries,144.214.55.140,https://drive.google.com/open?id=0B_bAdNcWxr9KNEs3c3NLNGJ1akE,"http://scholar.google.com/scholar?cites=439737353136537207&as_sdt=2005&sciodt=0,5&hl=en&num=20",examines the extent of B2C websites communication differentiation on cultural grounds,University of Technology (Australia),AU,University of Technology (Australia),AU,"PK, AU",Scholarly Article,1,,,,,,,,185,4/1/2015,,developing countries,developing world,global development,,,,,,,,,
4,"JW Rosenboom, C Jacks, K Phyrum…",Sanitation marketing in Cambodia,2011,…,practicalaction.metapress.com,https://drive.google.com/open?id=0B_bAdNcWxr9KMWFSbVVCd242bHc,"http://scholar.google.com/scholar?cites=15059915067851554351&as_sdt=2005&sciodt=0,5&hl=en&num=20",sanitation demand in Cambodia,Gates Foundation (US),US,"International Development Enterprises (Cambodia), World Bank (Cambodia)",KH,KH,Scholarly Article,1,,,,,,,,286,4/1/2015,,poverty,international development,,,,,,,,,,
3,"R Rege, S Nagarkar",Krishi-Mitra: case study of a user-centric ICT solution for semi-literate and illiterate farmers in India,2010,Proceedings of the 2010 international conference on …,bcs.org,http://www.bcs.org/upload/pdf/ewic_ihci10_paper9.pdf ,"http://scholar.google.com/scholar?cites=13008559727400248363&as_sdt=2005&sciodt=0,5&hl=en&num=20",ICT design for rural farmers in India,Indiana University (US),US,University of Pune (India),IN,IN,Scholarly Article,1,,,,,,,,38,4/1/2015,PDF,poverty,developing world,international development,,,,,,,,,
3,"A Joshi, M de Araujo Novaes, J Machiavelli…",Designing Human Centered GeoVisualization application–the SanaViz–for telehealth users: A case study,2012,Technology and Health …,IOS Press,https://drive.google.com/open?id=0B_bAdNcWxr9KSTVpamNIekMzckE,"http://scholar.google.com/scholar?cites=10976964520633706122&as_sdt=2005&sciodt=0,5&hl=en&num=20",visually organizing public health info in Brazil on a map,University of Nebraska Medical Center (US),US,"Universidade Federal de Pernambuco (Brazil), University of Texas Health Science Center (US),","BR, BR, US, US, US, US, US",BR,Scholarly Article,1,,1,,,,1,,95,4/1/2015,,developing countries,,,,,,,,,,,
3,R Rege,Designing interactive information access technologies for small scale rural indian farmers,2009,CHI'09 Extended Abstracts on Human Factors in …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KRTgtTmZZY1pVR2c,"http://scholar.google.com/scholar?cites=9876060802211002888&as_sdt=2005&sciodt=0,5&hl=en&num=20",study to understand needs of rural Indian farmers,Indiana University (US),US,n/a,n/a,IN,Scholarly Article,1,,,,,,,,30,4/1/2015,,poverty,,,,,,,,,,,
3,"H Knoche, PRS Rao, J Huang",Human-Centered Design for Development,2012,Developments in Technologies …,books.google.com,https://drive.google.com/open?id=0B2JpCODNQ51lREVSRTA0aVNheTQ,"http://scholar.google.com/scholar?cites=3085615615570662844&as_sdt=2005&sciodt=0,5&hl=en&num=20",challenges faced in ICTD in developing contexts based on insights from project with farmers in India,EPFL IC LDM (Switzerland),CH,CK Trust (India),"IN, CH",IN,Scholarly Article,1,,,,,,,,8,4/1/2015,,poverty,developing countries,developing world,international development,,,,,,,,
3,"MB Motlhabi, WD Tucker, MB Parker…",Improving usability and correctness of a mobile tool to help a deaf person with pharmaceutical instruction,2013,Proceedings of the 4th …,dl.acm.org,https://drive.google.com/open?id=0B_bAdNcWxr9KdVVneGczWUZiRnM,"http://scholar.google.com/scholar?cites=2099368995979245543&as_sdt=2005&sciodt=0,5&hl=en&num=20",mobile communication device for deaf users in developing country,University of the Western Cape (South Africa),ZA,Deaf Community of Cape Town (South Africa),ZA,ZA,Scholarly Article,1,,,,,,,,6,3/30/2015,,resource-limited settings,resource-limited,developing countries,,,,,,,,,
3,"BP Shrimali, J Luginbuhl, C Malin, R Flournoy…",The building blocks collaborative: Advancing a life course approach to health equity through multi-sector collaboration,2014,Maternal and child …,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KLTkzZ3UyQUxNaHM,"http://scholar.google.com/scholar?cites=8554278537164484116&as_sdt=2005&sciodt=0,5&hl=en&num=20",example of a course focused on health equity in Alameda County,Alameda County Public Health Department (US),US,n/a,"US, US, US, US",US,Scholarly Article,1,,,,,,,,131,4/1/2015,,poverty,low-income,,,,,,,,,,
3,"J Spencer, D Lilley",The effect of culture on sustainable behaviour in a design context,2012,,dspace.lboro.ac.uk,https://dspace.lboro.ac.uk/dspace-jspui/handle/2134/14345,"http://scholar.google.com/scholar?cites=14971111259191373117&as_sdt=2005&sciodt=0,5&hl=en&num=20",how culture influences sustainability habits,Loughborough University Design School (U.K.),GB,n/a,n/a,"IN, BR, GB",Scholarly Article,1,,,,,,,,12,3/30/2015,,low-resource,developing countries,,,,,,,,,,
3,"E Blank, N Tuikong, L Misoi, J Kamano…",Usability of implementing a tablet-based decision support and integrated record-keeping (DESIRE) tool in the nurse management of hypertension in rural …,2013,Studies in health …,ncbi.nlm.nih.gov,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC4074025/ ,"http://scholar.google.com/scholar?cites=4134063180423838515&as_sdt=2005&sciodt=0,5&hl=en&num=20",health record keeping tool for rural KE,Icahn School of Medicine at Mount Sinai (US),US,"Moi Teaching and Referral Hospital (KE), AMPATH (US), AMPATH (KE), IUPUI Department of Medicine (US)","KE, KE, KE, US, KE, US, ES, US",KE,Scholarly Article,1,,1,,,,,,45,4/1/2015,HTML,poverty,resource-limited,low-resource settings,low-resource,,,,,,,,
2,"M Sebillo, G Tortora, G Vitiello, P Di Giovanni…",A framework for community-oriented mobile interaction design in emerging regions,2013,… Interaction. Users and …,Springer,https://drive.google.com/open?id=0B_bAdNcWxr9KdFROMzAxS3hrRm8,"http://scholar.google.com/scholar?cites=17973659298908224530&as_sdt=2005&sciodt=0,5&hl=en&num=20",mobile application for farmers in Sri Lanka,University of Salerno (Italy),IT,"University College Dublin (Ireland), Universidad Carlos III de Madrid (Spain)","IE,ES",LK,Scholarly Article,1,,,,,,,,91,4/1/2015,,developing countries,developing world,,,,,,,,,,
2,"I Hussein, E Seman, M Mahmud",Barriers and drivers of human-centered ICT design: The missing elements in Malaysia,2009,Public Sector ICT Management Review,,http://www.researchgate.net/profile/Murni_Mahmud/publication/224171604_HCI_practices_in_Malaysia_A_reflection_of_ICT_professionals'_perspective/links/5443b0780cf2e6f0c0fb9691.pdf ,"http://scholar.google.com/scholar?cites=16911500668817070702&as_sdt=2005&sciodt=0,5&hl=en&num=20",perceptions of ICT in Malaysia,International Islamic University Malaysia (Malaysia),MY,Universiti Malaysia Sabah (Malaysia),"MY, MY",MY,Scholarly Article,1,,,,,,,,50,4/1/2015,CITATION,developing countries,,,,,,,,,,,
